Burn_Condition	Days_Since_Burn	Acidobacteriota	Actinobacteriota	Armatimonadota	Bacteroidota	Chloroflexi	Crenarchaeota	Firmicutes	Gemmatimonadota	Planctomycetota	Proteobacteria	RCP2-54	Unknown	Verrucomicrobiota	WPS-2
Burned	0Days	0.105376463	0.180274044	0.000198738	0.129871376	0.019527628	0.017032846	0.172445801	0.017249906	0.043398689	0.260273703	0.002186118	0.000447161	0.051717526	0
Burned	3Days	0.022512006	0.329026286	0	0.094644019	0.017260317	0.029216612	0.216093795	0.011775096	0.03330112	0.236973314	0.001744239	0	0.007453196	0
Burned	7Days	0.061389504	0.23720556	0.004834705	0.125808349	0.081077285	0.06512304	0.138014373	0.003739062	0.049126097	0.219838144	0.001976285	0	0.011705686	0.000161911
Burned	14Days	0.072343113	0.162239177	0.000345882	0.054057977	0.040941891	0.133223442	0.153073784	0.003855909	0.122674945	0.209822496	0	0.003107777	0.044313607	0
Burned	28Days	0.043958466	0.116613041	0.003380554	0.018622523	0.02871731	0.043242012	0.408046061	0.002039064	0.002267687	0.330569203	0	0	0.002544079	0
Unburned	0Days	0.219015703	0.043001496	0.010363859	0.035817006	0.05984727	4.25035E-05	0	0.006549644	0.171991348	0.101878101	0.010275099	0.025211928	0.308989592	0.00701645
Unburned	3Days	0.272044841	0.041015133	0.012899144	0.056321586	0.04484527	0.000709611	0.000713988	0.009359457	0.15185679	0.11355624	0.008657968	0.019549321	0.2612602	0.00721045
Unburned	7Days	0.219576999	0.047776733	0.009903202	0.044492556	0.050754769	0.000193942	9.15799E-05	0.004217577	0.160498649	0.120394901	0.008349217	0.028513122	0.2998502	0.005386554
Unburned	14Days	0.165794433	0.068699784	0.010868996	0.029651639	0.067454743	0.000699336	0.000635212	0.003996992	0.188481704	0.108281138	0.010487491	0.03768382	0.301156933	0.00610778
Unburned	28Days	0.144310604	0.094346718	0.008359905	0.027104692	0.074719071	0	0.0006332	0.002213265	0.180281883	0.161334763	0.008039454	0.019095649	0.269772579	0.009788217
