Burn_Condition	Days_Since_Burn	Genera_Corynebacterium	Genera_Geobacillus	Genera_Kocuria	Genera_Nitrososphaeraceae	Genera_Staphylococcus
Burned	0	0.02572869	0.024743582	0.00115895	0	0.00834444
Burned	3	0.063667159	0.013984192	0.018066533	0.024407192	0.003474333
Burned	7	0.065438049	0.011908137	0.003572441	0.016501276	0.022341934
Burned	14	0.007896335	0.028480799	0.011540798	0.016400081	0
Burned	28	0.006542871	0.005358923	0.00081007	0.007290628	0.000498504
Unburned	0	0	0	0	0	0
Unburned	3	0	0	0	0	0
Unburned	7	0	0	0	0	0
Unburned	14	0	0	0	0	0
Unburned	28	0	0	0	0	0
