#OTU_ID	Burn_Condition	Days_Since_IgnitionEvent	Sample_Date	Replicate	Carbon_percent	Nitrogen_percent	Nitrate_mgperL	Ammonium_mgperL	DOC_mgperL	TDN_mgperL	C_to_N_Ratio	pH_waterextacted	pH_CaCl2extracted
JQ1	Burned	14 Days	September_07_2022	3	2.261928629	0.151563753	0.648	13.2	98.15	13.24	7.413141994	6.82	6.82
JQ10	Burned	0 Days	August_24_2022	2	2.328245731	0.133931127	0.699	12.8	109.1	12.74	8.563579278	5.3	5.02
JQ11	Burned	3 Days	August_27_2022	3	2.22569619	0.123856439	0.119	13.5	74.88	10.63	7.044214487	5.32	5.12
JQ12	Burned	3 Days	August_27_2022	1	2.594656794	0.146087653	0.395	13.1	80.59	11.2	7.195535714	5.46	5.28
JQ13	Burned	7 Days	August_31_2022	1	2.234234234	0.112312312	0.1959	12	75.98	10.819	7.022830206	6.23	5.99
JQ14	Burned	7 Days	August_31_2022	3	2.185980837	0.130307615	0.303	13.5	74.25	9.116	8.145019746	6.12	5.99
JQ15	Burned	7 Days	August_31_2022	2	2.14038162	0.120229751	0.215	14.6	77.64	11.16	6.956989247	5.51	5.39
JQ2	Burned	28 Days	September_21_2022	1	2.564525871	0.151701228	0.215	11.8	65.16	10.48	6.217557252	5.73	5.57
JQ3	Burned	28 Days	September_21_2022	3	2.614187551	0.295472918	0.152	12.8	105.9	14.99	7.064709807	6.2	5.9
JQ4	Burned	3 Days	August_27_2022	2	2.526209269	0.138939486	0.311	14.6	91.64	11.37	8.059806508	5.33	5.02
JQ5	Burned	28 Days	September_21_2022	2	2.22613216	0.11416575	0.2274	13.7	69.06	10.35	6.672463768	6.07	5.82
JQ6	Burned	14 Days	September_07_2022	2	1.887839918	0.121806054	0.446	13.1	73.07	10.73	6.809878844	6.47	6.48
JQ7	Burned	14 Days	September_07_2022	1	2.246494979	0.129959232	0.536	11.2	72.95	10.68	6.830524345	6.84	6.74
JQ8	Burned	0 Days	August_24_2022	1	2.881352561	0.154549975	0.233	10.9	103.1	11.91	8.6565911	5.87	5.74
JQ9	Burned	0 Days	August_24_2022	3	2.452454755	0.142985701	0.669	11	80.6	9.505	8.479747501	5.72	5.38
PLJ1	Unburned	3 Days	August_27_2022	2	2.479870385	0.10712883	0.123	0.155	32.88	0.8826	37.253569	5.19	4.34
PLJ11	Unburned	7 Days	August_31_2022	2	2.259368635	0.131059063	0.4478	0.108	28.22	0.7848	35.95820591	5.24	4.33
PLJ12	Unburned	0 Days	August_24_2022	1	2.346861633	0.094200736	0.199	0.169	23.44	0.7494	31.27835602	5.13	4.26
PLJ13	Unburned	3 Days	August_27_2022	3	2.3353077	0.093263729	0.194	0.1342	27.62	1.2668	21.80296811	5.11	4.29
PLJ14	Unburned	3 Days	August_27_2022	1	2.426630435	0.097121578	0.221	0.132	26.89	1.103	24.37896646	5.2	4.29
PLJ15	Unburned	28 Days	September_21_2022	3	2.705656177	0.132146109	0.511	0.534	36.82	1.21	30.42975207	5.21	4.32
PLJ16	Unburned	14 Days	September_07_2022	1	2.553092528	0.096387927	0.154	0.221	27.8	0.7441	37.36056982	5.22	4.34
PLJ17	Unburned	7 Days	August_31_2022	1	2.420848653	0.113981914	0.499	0.139	26.88	0.9377	28.66588461	5.19	4.34
PLJ18	Unburned	28 Days	September_21_2022	2	2.413956298	0.094451717	0.209	0.103	40.29	1.147	35.12641674	5.13	4.37
PLJ2	Unburned	0 Days	August_24_2022	2	2.340551378	0.110075188	0.276	0.159	31.54	0.916	34.43231441	5.16	4.24
PLJ3	Unburned	7 Days	August_31_2022	3	2.414106828	0.114752495	0.355	0.1421	30.67	1.11	27.63063063	5.24	4.31
PLJ4	Unburned	0 Days	August_24_2022	3	2.302233903	0.12079248	0.291	0.363	31.74	1.212	26.18811881	5.06	4.32
PLJ6	Unburned	14 Days	September_07_2022	2	2.501086527	0.110529435	0.239	0.21	26.66	0.7157	37.25024452	5.07	4.35
PLJ8	Unburned	28 Days	September_21_2022	1	2.592890139	0.106647921	0.133	0.391	27.24	1.089	25.0137741	5.22	4.38
PLJ9	Unburned	14 Days	September_07_2022	3	2.487007213	0.095840332	0.213	0.292	36.31	1.2484	29.08522909	5.1	4.34
