ASV	Taxon	Phylum	Class	Order	Family	Genus	Species
80c06745d84db948a93f61e83611b783	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unknown
b555b94022e48da761f0e726f86adff8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Unknown
d9083ab488544ccbbae8682c950e2544	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flaviaesturariibacter	Uncultured bacterium
9cb39a253b8d4d3fcbb0a06b2105021d	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flaviaesturariibacter	Uncultured bacterium
19c8b33153ecbc5ab139b86ed996a90e	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unknown
8df2b2e6c1cb64bd18b81d5bae7f0898	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unknown
b930800211c656659820e8a8a4842528	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Unknown
9d44112042789d5622f6500148cdc388	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	Uncultured bacterium
3833fb89680e0c1b788c137cde4ef3af	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unknown
27ebc9ae884f2286b7c089b13489da81	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	Uncultured bacterium
ad72127c01dac114c005c83404612b5d	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unknown
37692beae490744c50df8449e1dfc778	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Cnuella	Uncultured bacterium
d3d0954f131032ebb7e76ddaca6831af	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	Metagenome
f6edbcb91f18c1dcc550ce2c68333165	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	Unknown
2a1b95f280310734ee9a73f6e4fe75e7	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	Unknown
157a7c6518a3b3e70daf62add4531002	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	WD260	WD260	Uncultured bacterium
aef9ba0908439d0896ca8cfc4db4dbcf	Bacteria	Chloroflexi	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	Unknown
702af9e944edfd5a1a7f0dce0d566376	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Unknown	Unknown
65b1fe847bdef1782f7c3b340f616bc6	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unknown
354a08c393183104bb5c02c51f87efe6	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	Uncultured bacterium
a099b394e1c5bf8da4ea283c5f27fd68	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unknown
c8f814fd923180531d222e505bb8b7fa	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiales Incertae Sedis	Motilibacter	Unknown
95b0d4f1aee6d2f42602026d5c634276	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	unidentified archaeon
9f6a48827f9fc2a505a655627657ffb4	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
1c0a3725f25027e98ff6aea763fbb4d2	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Unknown	Unknown
26d3b88219bfb6a787c3ded6b2e83596	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	WD2101 soil group	Uncultured bacterium
b5c8ed4496d79b916859402cdf11f0a7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown
177f15426f28db0f5f562881cd3ef25d	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga	Uncultured Rhodocytophaga
63f91dea197c71c263997946f0e60699	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Uncultured	Uncultured	Uncultured Planctomycetales
d3303382b19b8ac4d8f8864337e9b9c3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unknown
0da1f2a11ad0c30400b9de52f33c7aba	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Uncultured bacterium
fab2932e219ad8fc08ebcafb0c320966	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Nibribacter	Unknown
aa6f9d72d79582f37cd7e1a204da5573	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unknown
f66df1898b46126275f1585978e60df0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Metagenome
10afda2baef44de4c584a6641de399b1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown
5386b6be014eb2b8c7290cb18325a830	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	Uncultured actinobacterium
ce72168fbf5e3e014ce3bb524e664041	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unknown
a97cb0eaa4fefb313021cf1c914d4d69	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Unknown
649f026cd615015b1c0f8e760d309122	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Unknown
6a91a85cf6eb55ead332be5dd3e31123	Bacteria	Firmicutes	Thermoanaerobacteria	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
3ebf82fd63946dbd5a58e8767f016d9d	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Unknown
29abf79937c29f1d4d7d5739225d3b22	Bacteria	RCP2-54	RCP2-54	RCP2-54	RCP2-54	RCP2-54	Uncultured bacterium
6cd521d4f7f2f49c4c86e06f49e576d8	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unknown
3d0fdaba5562129fdce740dd2c09f772	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Unknown
6c52593f44c5787de4b040d7d3b38db6	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Unknown	Unknown
ca6c2b3b469c08212142e8821c65882a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unknown
9db70b1f87bcf936402ea019a66f2bea	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Unknown
8821f586cf588220a38594f50af81341	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unknown
b8c4ed03d7d91546b9f6ad80b80135a3	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	Unknown
bcfdce6af0838615c3ceada5eb3006b4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	Uncultured bacterium
e05c79009fd7877b24e3127bd49986a0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	Metagenome
e27c7a8f0f15ba272646221046672a7a	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Unknown	Unknown
8f7eb9ea78e61c8a75f0f84d1b095145	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unknown	Unknown
