Burn_Condition	Days_Since_Burn	Ascomycota	Basidiomycota	Mortierellomycota	Unknown
Burned	0 Days	0.455035961	0.436669537	0.08221496	0.026079542
Burned	3 Days	0.329821858	0.354211205	0.011572388	0.304394549
Burned	7 Days	0.434269971	0.329377872	0.130319829	0.106032328
Burned	14 Days	0.607225904	0.256550801	0.023391295	0.112832
Burned	28 Days	0.258565699	0.057054772	7.61731E-05	0.684303356
Unburned	0 Days	0.283452135	0.506251269	0.055363839	0.154932757
Unburned	3 Days	0.314061178	0.432157528	0.090634072	0.163147222
Unburned	7 Days	0.32972505	0.340891546	0.116741435	0.212641969
Unburned	14 Days	0.369813171	0.375582733	0.046897206	0.20770689
Unburned	28 Days	0.407698072	0.32049572	0.032997869	0.238808339
