#OTU_ID	Burn_Condition	Days_Since_IgnitionEvent	Sample_Date	Replicate	Animal Pathogen	Dung Saprotroph	Ectomycorrhizal	Endophyte	Ericoid Mycorrhizal	Fungal Parasite	Lichen Parasite	Lichenized	Litter Saprotroph	Orchid Mycorrhizal	Plant Pathogen	Soil Saprotroph	Undefined Saprotroph	Wood Saprotroph
JQ1	Burned	14 Days	September_07_2022	3	0.015165031	0	0.025869759	0.02765388	0	0	0	0	0	0	0.422836753	0	0.462979483	0.045495094
JQ10	Burned	0 Days	August_24_2022	2	0	0	0.520787746	0	0	0	0	0	0	0	0.061269147	0	0.417943107	0
JQ11	Burned	3 Days	August_27_2022	3	0.316129032	0	0.14516129	0	0	0	0	0	0	0	0.206451613	0	0.332258065	0
JQ12	Burned	3 Days	August_27_2022	1	0	0	0	0	0	0	0	0	0	0	0.034285714	0	0.965714286	0
JQ13	Burned	7 Days	August_31_2022	1	0	0	0	0	0	0	0	0	0	0	0.579310345	0	0.206896552	0.213793103
JQ14	Burned	7 Days	August_31_2022	3	0	0	0.003242542	0	0	0.042801556	0	0	0	0	0.208171206	0	0.725032425	0.02075227
JQ15	Burned	7 Days	August_31_2022	2	0.021428571	0	0.008571429	0	0	0	0	0	0	0	0.260952381	0	0.702380952	0.006666667
JQ2	Burned	28 Days	September_21_2022	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
JQ3	Burned	28 Days	September_21_2022	3	0	0	0	0	0	0	0	0	0	0	0.284313725	0	0.715686275	0
JQ4	Burned	3 Days	August_27_2022	2	0	0	0.068263143	0.055601431	0	0	0	0	0.059454996	0	0.097164878	0	0.595650977	0.123864575
JQ5	Burned	28 Days	September_21_2022	2	0	0	0.004701627	0	0	0	0	0	0	0	0	0	0.995298373	0
JQ6	Burned	14 Days	September_07_2022	2	0	0	0	0.13163482	0	0	0	0	0	0	0.014861996	0	0.853503185	0
JQ7	Burned	14 Days	September_07_2022	1	0	0	0.00257566	0.000965873	0	0	0	0	0	0	0.168383773	0	0.828074694	0
JQ8	Burned	0 Days	August_24_2022	1	0	0	0	0	0	0	0	0	0	0	0.044137931	0	0.955862069	0
JQ9	Burned	0 Days	August_24_2022	3	0	0	0.00750469	0	0	0	0	0	0	0	0	0	0.99249531	0
PLJ1	Unburned	3 Days	August_27_2022	2	0.001382701	0	0.596251344	0.126593947	0.017667845	0	0	0	0.0004609	0.001075434	0.000614534	0.000614534	0.253495161	0.001843601
PLJ11	Unburned	7 Days	August_31_2022	2	0.000832293	0	0.41011236	0.216396171	0.035996671	0	0	0	0	0.00062422	0	0.000416146	0.33374948	0.001872659
PLJ12	Unburned	0 Days	August_24_2022	1	0.000826641	0	0.666863486	0.129546528	0.012753897	0	0.000472367	0	0	0.000354275	0.011691072	0	0.176074634	0.0014171
PLJ13	Unburned	3 Days	August_27_2022	3	0.003352214	0	0.545948445	0.122760375	0.020228875	0	0	0.000231187	0	0.00161831	0.006357647	0	0.295110392	0.004392556
PLJ14	Unburned	3 Days	August_27_2022	1	0.008653123	0	0.518811136	0.169300226	0.031602709	0	0	0	0	0.003386005	0.003009782	0	0.26523702	0
PLJ15	Unburned	28 Days	September_21_2022	3	0.029692082	0	0.188416422	0.271260997	0.065982405	0.002932551	0	0	0	0	0.007331378	0	0.431085044	0.00329912
PLJ16	Unburned	14 Days	September_07_2022	1	0.000877963	0	0.193151888	0.283143108	0.039947322	0.004389816	0	0	0	0.002633889	0.001316945	0	0.474539069	0
PLJ17	Unburned	7 Days	August_31_2022	1	0.002852697	0	0.464211618	0.187240664	0.040197095	0	0.001037344	0	0.001037344	0	0	0	0.298755187	0.00466805
PLJ18	Unburned	28 Days	September_21_2022	2	0	0	0.055725971	0.235685072	0.048568507	0.015848671	0	0	0	0	0.001533742	0	0.642638037	0
PLJ2	Unburned	0 Days	August_24_2022	2	0.000776036	0	0.714418749	0.095918051	0.010243675	0	0	0	0.000310414	0.000620829	0	0	0.175539345	0.002172901
PLJ3	Unburned	7 Days	August_31_2022	3	0.00554939	0	0.409766926	0.115649279	0.043063263	0	0	0.001553829	0	0	0	0	0.423973363	0.000443951
PLJ4	Unburned	0 Days	August_24_2022	3	0.004765396	0	0.487781036	0.112047898	0.019428152	0	0	0.000733138	0.000488759	0.002321603	0.000977517	0	0.367668622	0.003787879
PLJ6	Unburned	14 Days	September_07_2022	2	0	0.000440141	0.448723592	0.27068662	0.032790493	0	0	0	0	0.00528169	0	0	0.241197183	0.000880282
PLJ8	Unburned	28 Days	September_21_2022	1	0.001578283	0	0.17739899	0.244949495	0.046085859	0	0	0	0	0	0.001262626	0	0.526515152	0.002209596
PLJ9	Unburned	14 Days	September_07_2022	3	0.000847868	0	0.465116279	0.104045543	0.051598837	0	0	0	0	0.001332364	0.000847868	0	0.374273256	0.001937984
