Guild	Burned_0	Burned_3	Burned_7	Burned_14	Burned_28	Unburned_0	Unburned_3	Unburned_7	Unburned_14	Unburned_28
Ectomycorrhizal	0.083521837	0.013753286	0.002883651	0.002682109	0.000234505	0.286712867	0.216316916	0.150013358	0.170002411	0.045574662
Endophyte	0.000870019	0.009481787	0	0.005851874	0	0.052715911	0.050021413	0.060993855	0.073252418	0.075715216
Ericoid Mycorrhizal	0	0	0	0	0	0.006669604	0.008008565	0.013946033	0.017844225	0.016123473
Fungal Parasite	0	0	0.008274824	0	0	0	0	0	0.000267931	0.001493623
Lichenized	0	0	0	0	0	0.000120173	4.28E-05	0.000187016	0	0
Litter Saprotroph	0	0.010138941	0	0	0	0.000120173	6.42E-05	0.000106866	0	0
Plant Pathogen	0.015312337	0.020418701	0.130015045	0.061200853	0.001569377	0.002143086	0.00143469	0	0.000267931	0.001034047
Soil Saprotroph	0	0	0	0	0	0.000140202	0.000642398	0.000374032	0.000375104	0.007085137
Undefined Saprotroph	0.27910214	0.130210289	0.332622869	0.212922889	0.05379176	0.114605031	0.10751606	0.126182207	0.141467728	0.158936847
Unknown	0.621193666	0.790274127	0.507021063	0.713197196	0.944404358	0.534008973	0.612933619	0.646166177	0.594593146	0.690130596
Wood Saprotroph	0	0.021122794	0.013540622	0.003108808	0	0.001141644	0.001070664	0.00077478	0.000535863	0.000612769
Other	0	0.004600075	0.005641926	0.001036269	0	0.001622336	0.001948608	0.001255678	0.001393242	0.003293631
