#OTU ID	JQ1	JQ10	JQ11	JQ12	JQ13	JQ14	JQ15	JQ2	JQ3	JQ4	JQ5	JQ6	JQ7	JQ8	JQ9	PLJ1	PLJ11	PLJ12	PLJ13	PLJ14	PLJ15	PLJ16	PLJ17	PLJ18	PLJ2	PLJ3	PLJ4	PLJ6	PLJ8	PLJ9
7e7899d8d44e26730ebb1902fd70015a	115	56	64	18	168	191	139	0	87	330	0	7	478	15	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
a31b934cef94e4229b2ea5069d017385	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71304926ff03bb2a9cf431ef25577c65	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0	0	0	0	0	8	0	0	68	0	0	0	0	0	0
06560a6ee494d6ad034514232c76f005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	46	10	13	0	0	71	93	0	14	61
290412c1fbf269b5325dde14a5128871	0	0	0	595	0	216	0	0	0	0	0	0	0	0	0	0	0	0	10	0	203	9	0	249	0	2	5	0	327	0
5eb3c662bab7916551983bbef1b31c5c	90	0	237	0	231	0	0	20727	2175	8948	18948	0	0	0	3	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0
88c0482c265d15e1c6658da6b3e68ccb	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83a530749e074952f811a429eeb53d08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	140	82	125	48	86	26	48	0	56	84	130	25	38	120
56e00defea82544b52f8a64645e36c33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	560	408	162	183	95	292	238	120	184	86	125	451	458	254
3a69575a4224a63be175739c3f9fdde6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	33	0	0	0	0	8	0	19	0	6	0	0	0
7bdc68db4f1c97fdf30579b908feefdf	0	0	0	0	0	307	13	5	0	572	0	0	18	0	0	543	282	266	979	293	171	186	262	49	254	507	367	163	98	245
fe9cc4c7711077ffd2d4da7615cd78f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	8	34	0	0	0
0fe7bc2c7f17de455f429c8a16492c18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	374	465	285	82	251	206	177	101	285	291	251	242	326	349
049b8fec79094c80696578130fb593e7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	127	0	0	0
08c1d20957acf727c9a4b986fd8a3b04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	108	0	10	0	73	0	79	64	0	0	0	55
59f25f99ea77cc2a04f58489211cc91c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	70	0	20	34	0	0	0	28	57	0	27	30
1632bdea67ae34d79d71a8e4da053a55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	187	266	28	127	27	129	128	35	197	100	13	90	246	117
fc39245d902923df6d19499dba1931f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
4f6c5ae04089680f88f49eef6f56a6bf	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	17	0	0	0	0	7	0	8	0	0	0	8	7
7566a5259a71c2e00f3ea9d7ff87be1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29f51b4e8dfea7306734a44122b0081b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	29	0	0	0	0	0
dac390e26fa67c72bf0831d176bb4ead	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
a11cb66a34558eea38aba72952ef7309	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	312	180	272	562	202	35	178	1746	22	194	377	265	159	52	96
f43579fa4b55e75204bd2bf22115182c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	4	0	0	0	0
fae5efab7b06ce28c7dd8b5d7e2141bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	118	28	56	0	0	25	35	0	40	32	31	0	49	0
e21fb51e7e179207b06de5cd3840b917	0	0	0	0	0	0	0	0	0	202	0	62	0	0	0	807	1012	1050	1062	429	712	630	702	461	600	504	820	1214	742	774
aea867b1763cc30f2fdcd3ba0815af8c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	72	71	95	36	0	29	49	0	87	17	46	47	80	85
3b787e1ca5bf2d490b590bb06e95cde4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
ed9c57e26db28702fd97a18b5fab2e55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	40	0	56	31	49	67	40	0	29	44	0	0	36	0
e067365d47208dcbf97be9b2c47c7878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	150	0	0	0
90bc0fd42ad8fba1d085172e42477d95	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	120	121	169	479	65	381	112	65	141	68	201	303	46	239	281
8decc2ec8fcb16d9e92b92b2f34d2701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	14	0	0	9	0	0	0	5
6d71a771f1d79ae59034d250ddc9dd5c	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	169	192	101	141	49	0	94	64	152	85	69	78	32	120	99
4cf3b5580ef4e764996475f86d2e6dbd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	33	0	0	0	18	0	13	36	0	0	23	45
d24e2a868507debdba4ec66eb61ad285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	21	10	0	0	0	0	0	0	10	0	0	0	0	54
6c581bd515a263290edf1b7719660713	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	870	995	611	664	218	541	638	486	233	591	530	593	317	1300	1483
f77536a835964e3bee6e32f27aed1e5e	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	39	0	0	0	0	0	0	16	0	0	0	114
fd45664097ba89fde9732d6bc83d4f89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	13	0	15	0	0	6	0	0	15	0	0	8
1bdb36bd55e880a0cfac2dcef1c4832e	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	10	37	0	0	22	17	0	0	0	0	0
0d413df8cf112e70d218c7934289a385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	713	330	259	182	221	262	207	266	168	137	198	119	524	459
db7d7ec88003512b20e371275a2a36cf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	9	20	0	58	10	11	31	6	12	17	12	50	9
3c58d57b452c0037c189948596810971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	33	41	58	22	92	43	52	0	29	52	83	379	100	43
efcd16159bec31bc5361ffbbb3cb93d3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	243	332	162	190	43	48	44	107	61	151	178	183	116	88	237
