ASV	Taxon	Phyla	Class	Order	Family	Genus	Species
7e7899d8d44e26730ebb1902fd70015a	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella tassiana
a31b934cef94e4229b2ea5069d017385	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Unknown
71304926ff03bb2a9cf431ef25577c65	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia liquefaciens
06560a6ee494d6ad034514232c76f005	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris
290412c1fbf269b5325dde14a5128871	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia adeliensis
5eb3c662bab7916551983bbef1b31c5c	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
88c0482c265d15e1c6658da6b3e68ccb	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unknown
83a530749e074952f811a429eeb53d08	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
56e00defea82544b52f8a64645e36c33	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Unknown	Unknown	Unknown
3a69575a4224a63be175739c3f9fdde6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	Hygrophorus hypothejus
7bdc68db4f1c97fdf30579b908feefdf	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella humilis
fe9cc4c7711077ffd2d4da7615cd78f2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma portentosum
0fe7bc2c7f17de455f429c8a16492c18	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
049b8fec79094c80696578130fb593e7	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius psammocola
08c1d20957acf727c9a4b986fd8a3b04	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Unknown	Unknown
59f25f99ea77cc2a04f58489211cc91c	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
1632bdea67ae34d79d71a8e4da053a55	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Unknown
fc39245d902923df6d19499dba1931f6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Unknown
4f6c5ae04089680f88f49eef6f56a6bf	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
7566a5259a71c2e00f3ea9d7ff87be1d	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unknown
